model,contrast,hypothesis,region_a,region_b,delta_auc,ci_lo,ci_hi,p_raw,p_holm,rejected
logreg,H1_wholebrain_vs_dmn,H1,wholebrain,dmn,0.017979797979797985,-0.0904566005882689,0.12641619654786487,0.7451955407048425,1.0,False
logreg,H1_wholebrain_vs_best_memory,H1,wholebrain,dmn-hippo-limbic,0.018787878787878798,-0.09145767706594486,0.12903343464170247,0.7383689486097476,1.0,False
logreg,H2_dmn_vs_dmn_hippo,H2,dmn,dmn-hippo,0.004444444444444584,-0.11391293759040148,0.12280182647929065,0.9413296949005316,1.0,False
logreg,H2_dmn_vs_dmn_limbic,H2,dmn,dmn-limbic,0.044848484848484915,-0.07349461083566841,0.16319158053263824,0.45762240529033704,1.0,False
logreg,H2_dmn_hippo_vs_dmn_hippo_limbic,H2,dmn-hippo,dmn-hippo-limbic,-0.003636363636363771,-0.11922946994899211,0.11195674267626457,0.9508358625139117,1.0,False
logreg,H3_memory_vs_memory_plus_dan,H3,dmn-hippo-limbic,dmn-hippo-limbic-dan,0.07919191919191915,-0.0477742715019554,0.2061581098857937,0.22152711310515194,1.0,False
logreg,SANITY_hippo_vs_dmn_hippo,sanity,hippo,dmn-hippo,-0.08222222222222209,-0.2046038307311909,0.04015938628674673,0.1879043243968641,1.0,False
gec,H1_wholebrain_vs_dmn,H1,wholebrain,dmn,-0.06060606060606066,-0.18371634399980763,0.06250422278768632,0.33460880260032333,1.0,False
gec,H1_wholebrain_vs_best_memory,H1,wholebrain,dmn-hippo-limbic,-0.15535353535353535,-0.2563282695543291,-0.0543788011527416,0.002565725017685372,0.017960075123797603,True
gec,H2_dmn_vs_dmn_hippo,H2,dmn,dmn-hippo,0.009696969696969648,-0.09767919156000651,0.11707313095394581,0.8595074325771384,1.0,False
gec,H2_dmn_vs_dmn_limbic,H2,dmn,dmn-limbic,0.005656565656565804,-0.10041885716277517,0.11173198847590678,0.9167592277601566,1.0,False
gec,H2_dmn_hippo_vs_dmn_hippo_limbic,H2,dmn-hippo,dmn-hippo-limbic,-0.10444444444444434,-0.1980212708773726,-0.01086761801151609,0.028699777166466323,0.1434988858323316,False
gec,H3_memory_vs_memory_plus_dan,H3,dmn-hippo-limbic,dmn-hippo-limbic-dan,0.12080808080808081,0.024658489882111348,0.21695767173405028,0.013792768249963894,0.08275660949978336,False
gec,SANITY_hippo_vs_dmn_hippo,sanity,hippo,dmn-hippo,-0.056363636363636394,-0.17577757193644278,0.06305029920916998,0.35491012325957816,1.0,False
gelstm,H1_wholebrain_vs_dmn,H1,wholebrain,dmn,0.026060606060606006,-0.07357916212144172,0.12570037424265373,0.6082135698018343,1.0,False
gelstm,H1_wholebrain_vs_best_memory,H1,wholebrain,dmn-hippo-limbic,0.02262626262626266,-0.08076495226934918,0.1260174775218745,0.6679807412577397,1.0,False
gelstm,H2_dmn_vs_dmn_hippo,H2,dmn,dmn-hippo,-0.049292929292929166,-0.15500797391599225,0.05642211533013393,0.3607724417386091,1.0,False
gelstm,H2_dmn_vs_dmn_limbic,H2,dmn,dmn-limbic,-0.027070707070706912,-0.13678992942933377,0.08264851528791994,0.6286866282646435,1.0,False
gelstm,H2_dmn_hippo_vs_dmn_hippo_limbic,H2,dmn-hippo,dmn-hippo-limbic,0.04585858585858582,-0.05242605807121177,0.1441432297883834,0.36045487368923945,1.0,False
gelstm,H3_memory_vs_memory_plus_dan,H3,dmn-hippo-limbic,dmn-hippo-limbic-dan,-0.037979797979798,-0.1381235071065534,0.06216391114695739,0.45728667043067883,1.0,False
gelstm,SANITY_hippo_vs_dmn_hippo,sanity,hippo,dmn-hippo,-0.1454545454545455,-0.25654416356445725,-0.03436492734463374,0.010279953215290849,0.07195967250703594,False
