model,contrast,hypothesis,region_a,region_b,delta_c,ci_lo,ci_hi,p_raw,p_holm,rejected
cox,H1_wholebrain_vs_dmn,H1,wholebrain,dmn,0.03197405004633924,-0.06088588456465882,0.1275193106050484,0.498,1.0,False
cox,H1_wholebrain_vs_best_memory,H1,wholebrain,dmn-hippo-limbic,-0.019462465245597693,-0.10684141486490986,0.06743352142297479,0.674,1.0,False
cox,H2_dmn_vs_dmn_hippo,H2,dmn,dmn-hippo,-0.04124189063948103,-0.13209123459029926,0.047330844951817545,0.332,1.0,False
cox,H2_dmn_vs_dmn_limbic,H2,dmn,dmn-limbic,-0.05746061167747918,-0.1613932273796126,0.04356955082854158,0.262,1.0,False
cox,H2_dmn_hippo_vs_dmn_hippo_limbic,H2,dmn-hippo,dmn-hippo-limbic,-0.010194624652455908,-0.09295990030968788,0.07808876258602875,0.86,1.0,False
cox,H3_memory_vs_memory_plus_dan,H3,dmn-hippo-limbic,dmn-hippo-limbic-dan,-0.003861600247142438,-0.10677549060058283,0.09409794114543345,0.948,1.0,False
cox,SANITY_hippo_vs_dmn_hippo,sanity,hippo,dmn-hippo,-0.08109360518999076,-0.16900366999506142,0.0015924657804238108,0.052,0.364,False
rsf,H1_wholebrain_vs_dmn,H1,wholebrain,dmn,-0.06533827618164967,-0.169882861083064,0.03592638422093067,0.194,1.0,False
rsf,H1_wholebrain_vs_best_memory,H1,wholebrain,dmn-hippo-limbic,-0.052981155390793955,-0.13230462147808214,0.023213783158065084,0.186,1.0,False
rsf,H2_dmn_vs_dmn_hippo,H2,dmn,dmn-hippo,0.0012357120790855713,-0.08326740828594487,0.08841727499602811,0.958,1.0,False
rsf,H2_dmn_vs_dmn_limbic,H2,dmn,dmn-limbic,-0.03351869014519615,-0.13040173346299863,0.05879109674482939,0.468,1.0,False
rsf,H2_dmn_hippo_vs_dmn_hippo_limbic,H2,dmn-hippo,dmn-hippo-limbic,0.011121408711770142,-0.07857533586830844,0.09823230107164864,0.81,1.0,False
rsf,H3_memory_vs_memory_plus_dan,H3,dmn-hippo-limbic,dmn-hippo-limbic-dan,-0.04726598702502316,-0.1283966606666852,0.0383386542389881,0.302,1.0,False
rsf,SANITY_hippo_vs_dmn_hippo,sanity,hippo,dmn-hippo,-0.03073833796725367,-0.11369049199575873,0.056461410925175474,0.45,1.0,False
lstm_surv,H1_wholebrain_vs_dmn,H1,wholebrain,dmn,0.0030892801977140394,-0.0982647327667637,0.09114627545723475,0.952,1.0,False
lstm_surv,H1_wholebrain_vs_best_memory,H1,wholebrain,dmn-hippo-limbic,-0.010194624652455908,-0.10621553502484278,0.0820138657265688,0.778,1.0,False
lstm_surv,H2_dmn_vs_dmn_hippo,H2,dmn,dmn-hippo,0.0021624961383996943,-0.0812818396457472,0.084958732566149,0.926,1.0,False
lstm_surv,H2_dmn_vs_dmn_limbic,H2,dmn,dmn-limbic,-0.11105962310781592,-0.1978400920931326,-0.014550249659410371,0.026,0.182,False
lstm_surv,H2_dmn_hippo_vs_dmn_hippo_limbic,H2,dmn-hippo,dmn-hippo-limbic,-0.015446400988569642,-0.10299620812213851,0.06928387958448395,0.672,1.0,False
lstm_surv,H3_memory_vs_memory_plus_dan,H3,dmn-hippo-limbic,dmn-hippo-limbic-dan,0.01807228915662651,-0.0554527811465676,0.09595980425994098,0.624,1.0,False
lstm_surv,SANITY_hippo_vs_dmn_hippo,sanity,hippo,dmn-hippo,-0.025023169601482875,-0.11295899749010026,0.061117257494872845,0.606,1.0,False
