model,region,c_mean,c_std
cox,dmn,0.5903953370398004,0.08133596309185191
cox,dmn-hippo,0.610187493449211,0.06334684691535696
cox,dmn-hippo-limbic,0.6236027158994285,0.09248429212893439
cox,dmn-hippo-limbic-dan,0.6413888888535889,0.11158988442696324
cox,dmn-limbic,0.6219162026805345,0.022829174636171574
cox,hippo,0.524859375924197,0.042500224957988664
cox,wholebrain,0.5979266218715892,0.03281827163367276
lstm_surv,dmn,0.5983519439635532,0.059584127614704135
lstm_surv,dmn-hippo,0.5983775180746004,0.06303102145608204
lstm_surv,dmn-hippo-limbic,0.6087456964589952,0.07533621934149648
lstm_surv,dmn-hippo-limbic-dan,0.5904301879788941,0.08759530985182051
lstm_surv,dmn-limbic,0.7095234942447872,0.08273100344438768
lstm_surv,hippo,0.5779071252831108,0.09121423019023348
lstm_surv,wholebrain,0.5997770624312595,0.026406984931048386
rsf,dmn,0.6293814737733834,0.026975104216930747
rsf,dmn-hippo,0.6171946671483275,0.03429129339558608
rsf,dmn-hippo-limbic,0.6178485437377944,0.05529725630909895
rsf,dmn-hippo-limbic-dan,0.6633225946635704,0.03149982122797008
rsf,dmn-limbic,0.6429800413633572,0.07791061187140352
rsf,hippo,0.5863878433395361,0.022918028273013768
rsf,wholebrain,0.5510014180556528,0.06232585946997211
